E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.4533333333,0.0140500000,0.9913269325,0.8337049177,0.0933126008,62.6900435802,0.0042695164,1.0000000000,0.2448660856,0.0291987023,0.3948022031,0.0019554686
1.4533333333,0.0155000000,0.9913269442,0.8336809620,0.0936492077,57.1986658349,0.0038821474,1.0000000000,0.2464378810,0.0319541354,0.3951540928,0.0019110262
1.4533333333,0.0169500000,0.9913269557,0.8336533814,0.0951600634,53.5688575826,0.0036161152,1.0000000000,0.2441820560,0.0343095862,0.3942409383,0.0023110084
1.4533333333,0.0184000000,0.9913269681,0.8336185560,0.0966459016,49.8450989035,0.0065429802,1.0000000000,0.2429040035,0.0366205946,0.3937995981,0.0023554509
1.4533333333,0.0198500000,0.9913269819,0.8335722577,0.0977575557,46.2101093472,0.0135868880,1.0000000000,0.2426402445,0.0393760277,0.3937912239,0.0020443536
1.4533333333,0.0213000000,0.9913269974,0.8335050769,0.0981210644,43.4406460429,0.0082294944,1.0000000000,0.2428463131,0.0419981334,0.3939204174,0.0025776632
1.4533333333,0.0227500000,0.9913270161,0.8334132590,0.0981709770,40.9373134602,0.0054523269,1.0000000000,0.2429156513,0.0447535665,0.3938452834,0.0025332207
1.4533333333,0.0242000000,0.9913270375,0.8333282874,0.0998757067,38.9217193401,0.0122764440,1.0000000000,0.2431299950,0.0473312297,0.3938504363,0.0029332030
1.4533333333,0.0256500000,0.9913270636,0.8331955606,0.1003943415,37.3168460766,0.0129478893,1.0000000000,0.2425378540,0.0491978134,0.3935563802,0.0029776454
1.4533333333,0.0271000000,0.9913270944,0.8330034017,0.0999444665,35.4717804191,0.0072748094,1.0000000000,0.2410506556,0.0519088041,0.3931469709,0.0037776099
1.4533333333,0.0285500000,0.9913271274,0.8328278265,0.1013863392,34.0343969273,0.0088031454,1.0000000000,0.2407498985,0.0537753878,0.3931599583,0.0035998400
1.4533333333,0.0300000000,0.9913271686,0.8325906071,0.1019099910,32.5058395417,0.0075184540,1.0000000000,0.2422308820,0.0564419359,0.3937325006,0.0033331852
1.4800000000,0.0010000000,0.9913243090,0.8407405071,0.0861903271,913.4068299047,0.0031832161,1.0000000000,0.2127844121,0.0020443536,0.3760657837,0.0001333274
